age,city,country,education_среднее
43,1164,32,1.0
18,1168,32,0.0
53,1177,32,1.0
60,1134,32,1.0
18,10,32,0.0
51,1204,32,1.0
45,1183,32,1.0
38,1134,32,1.0
40,1157,32,1.0
43,1153,32,1.0
39,1178,32,0.0
36,1175,32,1.0
47,1134,32,1.0
41,1160,32,1.0
53,1188,32,1.0
36,1207,32,1.0
34,1198,32,1.0
50,1134,32,1.0
46,1187,32,1.0
43,1188,32,1.0
25,1187,32,0.0
60,1159,32,1.0
24,1134,32,0.0
22,1178,32,0.0
46,1177,32,1.0
65,1188,32,1.0
55,1198,32,1.0
45,1170,32,1.0
43,1188,32,1.0
42,1183,32,1.0
38,1177,32,1.0
59,1204,32,1.0
42,1148,32,1.0
